title,rating,genre,director,star,score
Still Smokin,R,Comedy,Tommy Chong,Cheech Marin,5.6
"Yor, the Hunter from the Future",PG,Action,Antonio Margheriti,Reb Brown,4.4
Of Unknown Origin,R,Horror,George P. Cosmatos,Peter Weller,6.1
Curse of the Pink Panther,PG,Comedy,Blake Edwards,David Niven,4.3
D.C. Cab,R,Action,Joel Schumacher,Max Gail,5.5
Beyond the Limit,R,Drama,John Mackenzie,Michael Caine,5.7
The Survivors,R,Comedy,Michael Ritchie,Walter Matthau,5.8
The Lonely Lady,R,Drama,Peter Sasdy,Pia Zadora,3.0
The Star Chamber,R,Crime,Peter Hyams,Michael Douglas,6.3
The Dresser,PG,Drama,Peter Yates,Albert Finney,7.6
Cross Creek,PG,Biography,Martin Ritt,Mary Steenburgen,7.0
The Man Who Loved Women,R,Comedy,Blake Edwards,Burt Reynolds,5.3
Nightmares,R,Horror,Joseph Sargent,Cristina Raines,5.8
Deal of the Century,PG,Comedy,William Friedkin,Chevy Chase,4.6
Eddie Macon's Run,PG,Action,Jeff Kanew,Kirk Douglas,5.7
Max Dugan Returns,PG,Comedy,Herbert Ross,Jason Robards,6.6
The Sting II,PG,Comedy,Jeremy Kagan,Jackie Gleason,4.9
Baby It's You,R,Comedy,John Sayles,Rosanna Arquette,6.3
Going Berserk,R,Comedy,David Steinberg,John Candy,5.2
Daniel,R,Drama,Sidney Lumet,Timothy Hutton,6.6
Love Letters,R,Drama,Amy Holden Jones,Jamie Lee Curtis,5.9
Get Crazy,R,Comedy,Allan Arkush,Malcolm McDowell,6.7
Nate and Hayes,PG,Action,Ferdinand Fairfax,Tommy Lee Jones,6.2
Lianna,R,Drama,John Sayles,Linda Griffiths,6.8
Better Late Than Never,PG,Comedy,Bryan Forbes,David Niven,5.8
Lovesick,PG,Comedy,Marshall Brickman,Dudley Moore,5.2
Exposed,R,Drama,James Toback,Nastassja Kinski,5.1
Trenchcoat,PG,Comedy,Michael Tuchner,Margot Kidder,5.3
The Man Who Wasn't There,R,Action,Bruce Malmuth,Steve Guttenberg,3.8
The Man Who Wasn't There,R,Crime,Joel Coen,Billy Bob Thornton,7.5
Romantic Comedy,PG,Comedy,Arthur Hiller,Dudley Moore,5.2
Young Warriors,R,Action,Lawrence David Foldes,Ernest Borgnine,4.7
Forever Young,Not Rated,Drama,David Drury,James Aubrey,6.7
Forever Young,PG,Drama,Steve Miner,Mel Gibson,6.3
The Golden Seal,PG,Drama,Frank Zuniga,Steve Railsback,5.3
The Terminator,R,Action,James Cameron,Arnold Schwarzenegger,8.0
Dune,PG-13,Action,David Lynch,Kyle MacLachlan,6.5
Ghostbusters,PG,Action,Ivan Reitman,Bill Murray,7.8
Ghostbusters,PG-13,Action,Paul Feig,Melissa McCarthy,6.7
The Karate Kid,PG,Action,John G. Avildsen,Ralph Macchio,7.3
The Karate Kid,PG,Action,Harald Zwart,Jackie Chan,6.2
Once Upon a Time in America,R,Crime,Sergio Leone,Robert De Niro,8.4
Police Academy,R,Comedy,Hugh Wilson,Steve Guttenberg,6.7
Indiana Jones and the Temple of Doom,PG,Action,Steven Spielberg,Harrison Ford,7.5
Body Double,R,Crime,Brian De Palma,Craig Wasson,6.8
A Nightmare on Elm Street,R,Horror,Wes Craven,Heather Langenkamp,7.5
A Nightmare on Elm Street,R,Crime,Samuel Bayer,Jackie Earle Haley,5.2
Amadeus,PG,Biography,Milos Forman,F. Murray Abraham,8.3
Beverly Hills Cop,R,Action,Martin Brest,Eddie Murphy,7.3
Red Dawn,PG-13,Action,John Milius,Patrick Swayze,6.4
Red Dawn,PG-13,Action,Dan Bradley,Chris Hemsworth,5.4
The NeverEnding Story,PG,Adventure,Wolfgang Petersen,Noah Hathaway,7.4
Footloose,PG,Drama,Herbert Ross,Kevin Bacon,6.6
Footloose,PG-13,Comedy,Craig Brewer,Kenny Wormald,5.9
Revenge of the Nerds,R,Comedy,Jeff Kanew,Robert Carradine,6.6
Gremlins,PG,Comedy,Joe Dante,Zach Galligan,7.3
Romancing the Stone,PG,Action,Robert Zemeckis,Michael Douglas,6.9
Streets of Fire,PG,Action,Walter Hill,Michael Paré,6.7
Sixteen Candles,PG,Comedy,John Hughes,Molly Ringwald,7.0
"Paris, Texas",R,Drama,Wim Wenders,Harry Dean Stanton,8.1
This Is Spinal Tap,R,Comedy,Rob Reiner,Rob Reiner,7.9
1984,R,Drama,Michael Radford,John Hurt,7.1
Top Secret!,PG,Comedy,Jim Abrahams,Val Kilmer,7.2
Conan the Destroyer,PG,Action,Richard Fleischer,Arnold Schwarzenegger,5.9
Children of the Corn,R,Horror,Fritz Kiersch,Peter Horton,5.6
The Last Starfighter,PG,Action,Nick Castle,Lance Guest,6.8
Splash,PG,Comedy,Ron Howard,Tom Hanks,6.3
Blood Simple,R,Crime,Joel Coen,John Getz,7.6
The Natural,PG,Drama,Barry Levinson,Robert Redford,7.5
Bachelor Party,R,Comedy,Neal Israel,Tom Hanks,6.3
Nausicaä of the Valley of the Wind,,Animation,Hayao Miyazaki,Sumi Shimamoto,8.1
Hardbodies,R,Comedy,Mark Griffiths,Grant Cramer,4.9
Against All Odds,R,Action,Taylor Hackford,Rachel Ward,5.9
Supergirl,PG,Action,Jeannot Szwarc,Helen Slater,4.4
The Bounty,PG,Adventure,Roger Donaldson,Mel Gibson,7.0
Firestarter,R,Action,Mark L. Lester,Drew Barrymore,6.1
C.H.U.D.,R,Horror,Douglas Cheek,John Heard,5.6
The Woman in Red,PG-13,Comedy,Gene Wilder,Gene Wilder,6.0
Runaway,PG-13,Action,Michael Crichton,Tom Selleck,5.9
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,Adventure,W.D. Richter,Peter Weller,6.4
Star Trek III: The Search for Spock,PG,Action,Leonard Nimoy,William Shatner,6.7
Repo Man,R,Action,Alex Cox,Harry Dean Stanton,6.9
The Killing Fields,R,Biography,Roland Joffé,Sam Waterston,7.8
The Cotton Club,R,Crime,Francis Ford Coppola,Richard Gere,6.5
Starman,PG,Romance,John Carpenter,Jeff Bridges,7.0
Night of the Comet,PG-13,Comedy,Thom Eberhardt,Catherine Mary Stewart,6.4
Blame It on Rio,R,Comedy,Stanley Donen,Michael Caine,5.8
Dreamscape,PG-13,Action,Joseph Ruben,Dennis Quaid,6.3
Crimes of Passion,R,Drama,Ken Russell,Kathleen Turner,6.4
The Philadelphia Experiment,PG,Adventure,Stewart Raffill,Michael Paré,6.1
Places in the Heart,PG,Drama,Robert Benton,Sally Field,7.4
Bolero,R,Comedy,John Derek,Bo Derek,3.0
Cannonball Run II,PG,Action,Hal Needham,Burt Reynolds,5.1
Stranger Than Paradise,R,Comedy,Jim Jarmusch,John Lurie,7.5
The Ice Pirates,PG,Action,Stewart Raffill,Robert Urich,5.7
A Passage to India,PG,Adventure,David Lean,Judy Davis,7.3
Purple Rain,R,Drama,Albert Magnoli,Prince,6.5
The Hotel New Hampshire,R,Comedy,Tony Richardson,Rob Lowe,6.0
The Hit,R,Crime,Stephen Frears,Freddie Stuart,7.1
Sheena,PG,Adventure,John Guillermin,Tanya Roberts,4.9
Missing in Action,R,Action,Joseph Zito,Chuck Norris,5.5
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,Hugh Hudson,Christopher Lambert,6.4
The Muppets Take Manhattan,G,Adventure,Frank Oz,Jim Henson,6.9
The Wild Life,R,Comedy,Art Linson,Chris Penn,6.1
Falling in Love,PG-13,Drama,Ulu Grosbard,Robert De Niro,6.5
Gwendoline,R,Action,Just Jaeckin,Tawny Kitaen,5.3
Breakin',PG,Comedy,Joel Silberg,Lucinda Dickey,5.8
Birdy,R,Drama,Alan Parker,Matthew Modine,7.3
The Company of Wolves,R,Drama,Neil Jordan,Sarah Patterson,6.7
Ghoulies,PG-13,Comedy,Luca Bercovici,Peter Liapis,4.2
Electric Dreams,PG,Comedy,Steve Barron,Lenny von Dohlen,6.5
Cloak & Dagger,PG,Action,Richard Franklin,Henry Thomas,6.6
Racing with the Moon,PG,Comedy,Richard Benjamin,Sean Penn,6.7
"Silent Night, Deadly Night",R,Horror,Charles E. Sellier Jr.,Lilyan Chauvin,5.9
The Pope of Greenwich Village,R,Action,Stuart Rosenberg,Eric Roberts,6.7
All of Me,PG,Comedy,Carl Reiner,Steve Martin,6.7
"Grandview, U.S.A.",R,Drama,Randal Kleiser,Jamie Lee Curtis,5.4
Where the Boys Are,R,Comedy,Hy Averback,Lisa Hartman,4.1
Reckless,R,Comedy,James Foley,Aidan Quinn,6.3
Tightrope,R,Crime,Richard Tuggle,Clint Eastwood,6.3
Rhinestone,PG,Comedy,Bob Clark,Sylvester Stallone,3.9
Up the Creek,R,Comedy,Robert Butler,Tim Matheson,5.6
Swing Shift,PG,Drama,Jonathan Demme,Goldie Hawn,5.9
Breakin' 2: Electric Boogaloo,PG,Comedy,Sam Firstenberg,Lucinda Dickey,5.1
The Razor's Edge,PG-13,Drama,John Byrum,Bill Murray,6.6
Tank,PG,Action,Marvin J. Chomsky,James Garner,5.8
Moscow on the Hudson,R,Comedy,Paul Mazursky,Robin Williams,6.5
Ninja III: The Domination,R,Action,Sam Firstenberg,Shô Kosugi,5.4
The Warrior and the Sorceress,R,Adventure,John C. Broderick,David Carradine,4.3
The Evil That Men Do,R,Action,J. Lee Thompson,Charles Bronson,6.0
Firstborn,R,Drama,Michael Apted,Teri Garr,6.2
Cut and Run,R,Adventure,Ruggero Deodato,Lisa Blount,5.7
Teachers,R,Comedy,Arthur Hiller,Nick Nolte,6.1
Repentance,PG,Drama,Tengiz Abuladze,Avtandil Makharadze,8.3
The River,PG-13,Drama,Mark Rydell,Mel Gibson,6.3
Razorback,R,Horror,Russell Mulcahy,Gregory Harrison,6.0
A Soldier's Story,PG,Crime,Norman Jewison,Howard E. Rollins Jr.,7.2
Meatballs Part II,PG,Comedy,Ken Wiederhorn,Richard Mulligan,3.7
Lassiter,R,Action,Roger Young,Tom Selleck,5.9
City Heat,PG,Action,Richard Benjamin,Clint Eastwood,5.5
Iceman,PG,Drama,Fred Schepisi,Timothy Hutton,6.1
Flashpoint,R,Action,William Tannen,Kris Kristofferson,6.4
The Little Drummer Girl,R,Drama,George Roy Hill,Diane Keaton,6.1
Lust in the Dust,R,Comedy,Paul Bartel,Tab Hunter,6.4
Hot Moves,R,Comedy,Jim Sotos,Michael Zorek,4.8
Thief of Hearts,Not Rated,Crime,Douglas Day Stewart,Steven Bauer,5.8
The Brother from Another Planet,R,Comedy,John Sayles,Joe Morton,6.8
No Small Affair,R,Comedy,Jerry Schatzberg,Jon Cryer,5.5
Broadway Danny Rose,PG,Comedy,Woody Allen,Woody Allen,7.4
Best Defense,R,Comedy,Willard Huyck,Dudley Moore,3.8
Micki + Maude,PG-13,Comedy,Blake Edwards,Dudley Moore,6.0
Protocol,PG,Comedy,Herbert Ross,Goldie Hawn,5.5
American Dreamer,PG,Comedy,Rick Rosenthal,JoBeth Williams,6.6
The Lonely Guy,R,Comedy,Arthur Hiller,Steve Martin,6.3
Making the Grade,R,Comedy,Dorian Walker,Judd Nelson,5.7
Full Moon in Paris,R,Comedy,Éric Rohmer,Pascale Ogier,7.4
Unfaithfully Yours,PG,Comedy,Howard Zieff,Dudley Moore,6.0
Impulse,R,Horror,Graham Baker,Tim Matheson,5.9
Impulse,R,Crime,Sondra Locke,Theresa Russell,5.7
Garbo Talks,PG-13,Comedy,Sidney Lumet,Anne Bancroft,6.4
Country,PG,Drama,Richard Pearce,Jessica Lange,6.7
Purple Hearts,R,Drama,Sidney J. Furie,Ken Wahl,5.8
Give My Regards to Broad Street,PG,Drama,Peter Webb,Paul McCartney,5.2
Finders Keepers,R,Comedy,Richard Lester,Michael O'Keefe,5.4
Just the Way You Are,PG,Comedy,Édouard Molinaro,Kristy McNichol,5.9
Kaos,R,Comedy,Paolo Taviani,Margarita Lozano,7.9
Misunderstood,PG,Drama,Jerry Schatzberg,Gene Hackman,6.0
Scandalous,PG,Comedy,Rob Cohen,Robert Hays,4.5
The Bay Boy,R,Drama,Daniel Petrie,Liv Ullmann,6.3
Heavenly Bodies,R,Drama,Lawrence Dane,Cynthia Dale,5.2
Heartbreakers,R,Drama,Bobby Roth,Peter Coyote,5.9
Heartbreakers,PG-13,Comedy,David Mirkin,Sigourney Weaver,6.2
Champions,PG,Biography,John Irvin,John Hurt,6.5
A Sunday in the Country,G,Drama,Bertrand Tavernier,Louis Ducreux,7.6
The Bear,PG,Biography,Richard C. Sarafian,Gary Busey,6.1
The Bear,PG,Adventure,Jean-Jacques Annaud,Tchéky Karyo,7.7
Over the Brooklyn Bridge,R,Comedy,Menahem Golan,Elliott Gould,5.7
The Adventures of Pinocchio,Not Rated,Animation,Ippei Kuri,Danielle Romeo,5.1
The Adventures of Pinocchio,G,Adventure,Steve Barron,Martin Landau,5.2
Weird Science,PG-13,Comedy,John Hughes,Anthony Michael Hall,6.6
The Goonies,PG,Adventure,Richard Donner,Sean Astin,7.8
Back to the Future,PG,Adventure,Robert Zemeckis,Michael J. Fox,8.5
To Live and Die in L.A.,R,Action,William Friedkin,William Petersen,7.3
Clue,PG,Comedy,Jonathan Lynn,Eileen Brennan,7.3
The Breakfast Club,R,Comedy,John Hughes,Emilio Estevez,7.8
Cocoon,PG-13,Comedy,Ron Howard,Don Ameche,6.7
Rambo: First Blood Part II,R,Action,George P. Cosmatos,Sylvester Stallone,6.5
Mask,PG-13,Biography,Peter Bogdanovich,Cher,7.2
Legend,PG,Adventure,Ridley Scott,Tom Cruise,6.4
Legend,R,Biography,Brian Helgeland,Tom Hardy,6.9
The Return of the Living Dead,R,Comedy,Dan O'Bannon,Clu Gulager,7.3
St. Elmo's Fire,R,Drama,Joel Schumacher,Demi Moore,6.4
Brazil,R,Drama,Terry Gilliam,Jonathan Pryce,7.9
Pale Rider,R,Drama,Clint Eastwood,Clint Eastwood,7.3
Teen Wolf,PG,Comedy,Rod Daniel,Michael J. Fox,6.1
Real Genius,PG,Comedy,Martha Coolidge,Val Kilmer,7.0
Commando,R,Action,Mark L. Lester,Arnold Schwarzenegger,6.7
Witness,R,Crime,Peter Weir,Harrison Ford,7.4
The Color Purple,PG-13,Drama,Steven Spielberg,Danny Glover,7.8
Silverado,PG-13,Action,Lawrence Kasdan,Kevin Kline,7.2
Rocky IV,PG,Drama,Sylvester Stallone,Sylvester Stallone,6.9
Better Off Dead...,PG,Comedy,Savage Steve Holland,John Cusack,7.1
Ran,R,Action,Akira Kurosawa,Tatsuya Nakadai,8.2
Ladyhawke,PG-13,Adventure,Richard Donner,Matthew Broderick,7.0
A Room with a View,Not Rated,Drama,James Ivory,Maggie Smith,7.3
Red Sonja,PG-13,Action,Richard Fleischer,Arnold Schwarzenegger,5.1
Fright Night,R,Fantasy,Tom Holland,Chris Sarandon,7.1
Fright Night,R,Comedy,Craig Gillespie,Anton Yelchin,6.4
Explorers,PG,Adventure,Joe Dante,Ethan Hawke,6.5
Flesh+Blood,R,Adventure,Paul Verhoeven,Rutger Hauer,6.7
Mad Max Beyond Thunderdome,PG-13,Action,George Miller,Mel Gibson,6.3
After Hours,R,Comedy,Martin Scorsese,Griffin Dunne,7.7
A View to a Kill,PG,Action,John Glen,Roger Moore,6.3
Fletch,PG,Comedy,Michael Ritchie,Chevy Chase,6.9
Perfect,R,Drama,James Bridges,John Travolta,4.5
Summer Rental,PG,Comedy,Carl Reiner,John Candy,6.3
Lifeforce,R,Action,Tobe Hooper,Steve Railsback,6.2
Pee-wee's Big Adventure,PG,Adventure,Tim Burton,Paul Reubens,7.0
Out of Africa,PG,Biography,Sydney Pollack,Meryl Streep,7.2
Day of the Dead,Not Rated,Horror,George A. Romero,Lori Cardille,7.1
Just One of the Guys,PG-13,Comedy,Lisa Gottlieb,Joyce Hyser,6.5
National Lampoon's European Vacation,PG-13,Adventure,Amy Heckerling,Chevy Chase,6.2
Spies Like Us,PG,Adventure,John Landis,Chevy Chase,6.4
House,R,Comedy,Steve Miner,William Katt,6.2
Police Academy 2: Their First Assignment,PG-13,Comedy,Jerry Paris,Steve Guttenberg,5.8
The Black Cauldron,PG,Animation,Ted Berman,Grant Bardsley,6.4
Runaway Train,R,Action,Andrey Konchalovskiy,Jon Voight,7.2
Re-Animator,Unrated,Comedy,Stuart Gordon,Jeffrey Combs,7.2
Brewster's Millions,PG,Comedy,Walter Hill,Richard Pryor,6.5
The Last Dragon,PG-13,Action,Michael Schultz,Taimak,6.9
The Legend of Billie Jean,PG-13,Action,Matthew Robbins,Helen Slater,6.6
Desperately Seeking Susan,PG-13,Comedy,Susan Seidelman,Rosanna Arquette,6.0
Girls Just Want to Have Fun,PG,Comedy,Alan Metter,Biff Yeager,6.0
Vision Quest,R,Drama,Harold Becker,Matthew Modine,6.6
Jagged Edge,R,Drama,Richard Marquand,Jeff Bridges,6.5
Enemy Mine,PG-13,Action,Wolfgang Petersen,Dennis Quaid,6.9
Tuff Turf,R,Action,Fritz Kiersch,James Spader,6.1
Volunteers,R,Adventure,Nicholas Meyer,Tom Hanks,5.5
The Jewel of the Nile,PG,Action,Lewis Teague,Michael Douglas,6.1
Once Bitten,PG-13,Comedy,Howard Storm,Lauren Hutton,5.5
Private Resort,R,Comedy,George Bowers,Rob Morrow,5.3
Police Story,PG-13,Action,Jackie Chan,Jackie Chan,7.6
Into the Night,R,Action,John Landis,Jeff Goldblum,6.5
The Sure Thing,PG-13,Comedy,Rob Reiner,John Cusack,7.0
White Nights,PG-13,Drama,Taylor Hackford,Mikhail Baryshnikov,6.7
Mischief,R,Comedy,Mel Damski,Doug McKeon,6.5
Silver Bullet,R,Horror,Daniel Attias,Gary Busey,6.4
Kiss of the Spider Woman,R,Drama,Hector Babenco,William Hurt,7.4
My Beautiful Laundrette,R,Comedy,Stephen Frears,Saeed Jaffrey,6.9
Young Sherlock Holmes,PG-13,Adventure,Barry Levinson,Nicholas Rowe,6.8
Smooth Talk,PG-13,Drama,Joyce Chopra,Treat Williams,6.5
Porky's Revenge,R,Comedy,James Komack,Dan Monahan,4.8
Year of the Dragon,R,Action,Michael Cimino,Mickey Rourke,6.9
Prizzi's Honor,R,Comedy,John Huston,Jack Nicholson,6.7
The Quiet Earth,R,Drama,Geoff Murphy,Bruno Lawrence,6.8
Tampopo,Not Rated,Comedy,Jûzô Itami,Ken Watanabe,8.0
Creature,R,Horror,William Malone,Stan Ivar,4.3
Secret Admirer,R,Comedy,David Greenwalt,C. Thomas Howell,6.6
"No Retreat, No Surrender",PG,Action,Corey Yuen,Kurt McKinney,5.7
D.A.R.Y.L.,PG,Family,Simon Wincer,Mary Beth Hurt,6.3
Mishima: A Life in Four Chapters,R,Biography,Paul Schrader,Ken Ogata,8.0
A Chorus Line,PG-13,Drama,Richard Attenborough,Michael Douglas,6.2
Cat's Eye,PG-13,Comedy,Lewis Teague,Drew Barrymore,6.3
Murphy's Romance,PG-13,Comedy,Martin Ritt,Sally Field,7.0
Heaven Help Us,R,Comedy,Michael Dinner,Donald Sutherland,6.9
American Flyers,PG-13,Drama,John Badham,Kevin Costner,6.5
The Journey of Natty Gann,PG,Adventure,Jeremy Kagan,Meredith Salenger,7.0
Fandango,PG,Comedy,Kevin Reynolds,Kevin Costner,6.7
Gotcha!,PG-13,Action,Jeff Kanew,Anthony Edwards,6.2
Death Wish 3,R,Action,Michael Winner,Charles Bronson,5.9
King Solomon's Mines,PG-13,Action,J. Lee Thompson,Richard Chamberlain,5.2
The Emerald Forest,R,Action,John Boorman,Powers Boothe,6.9
The Holcroft Covenant,R,Action,John Frankenheimer,Michael Caine,5.7
The Falcon and the Snowman,R,Biography,John Schlesinger,Timothy Hutton,6.8
Transylvania 6-5000,PG,Comedy,Rudy De Luca,Jeff Goldblum,5.0
Desert Hearts,R,Drama,Donna Deitch,Helen Shaver,7.0
The Heavenly Kid,PG-13,Comedy,Cary Medoway,Lewis Smith,6.3
The Purple Rose of Cairo,PG,Comedy,Woody Allen,Mia Farrow,7.7
The Man with One Red Shoe,PG,Comedy,Stan Dragoti,Tom Hanks,5.7
My Life as a Dog,Unrated,Drama,Lasse Hallström,Anton Glanzelius,7.6
My Science Project,PG,Action,Jonathan R. Betuel,John Stockwell,6.0
Seven Minutes in Heaven,PG-13,Comedy,Linda Feferman,Jennifer Connelly,6.1
The New Kids,R,Crime,Sean S. Cunningham,Shannon Presby,6.1
Tomboy,R,Comedy,Herb Freed,Betsy Russell,4.7
Invasion U.S.A.,R,Action,Joseph Zito,Chuck Norris,5.5
Revolution,PG,Adventure,Hugh Hudson,Al Pacino,5.3
Lost in America,R,Comedy,Albert Brooks,Albert Brooks,7.0
Subway,R,Thriller,Luc Besson,Christopher Lambert,6.6
Nomads,R,Horror,John McTiernan,Lesley-Anne Down,5.3
Fool for Love,R,Drama,Robert Altman,Sam Shepard,6.1
Code of Silence,R,Action,Andrew Davis,Chuck Norris,6.1
Sweet Dreams,PG-13,Biography,Karel Reisz,Jessica Lange,7.1
The Slugger's Wife,PG-13,Comedy,Hal Ashby,Michael O'Keefe,4.5
Avenging Angel,R,Action,Robert Vincent O'Neil,Betsy Russell,4.8
Santa Claus: The Movie,PG,Adventure,Jeannot Szwarc,Dudley Moore,6.3
That Was Then... This Is Now,R,Crime,Christopher Cain,Emilio Estevez,6.2
The Adventures of Mark Twain,G,Animation,Will Vinton,James Whitmore,7.4
Stick,R,Action,Burt Reynolds,Burt Reynolds,5.7
The Bride,PG-13,Fantasy,Franc Roddam,Sting,5.3
Godzilla 1985,PG,Action,Directors,Raymond Burr,6.2
Plenty,R,Drama,Fred Schepisi,Meryl Streep,6.0
King David,PG-13,Adventure,Bruce Beresford,Richard Gere,5.3
The Trip to Bountiful,PG,Drama,Peter Masterson,Geraldine Page,7.5
Missing in Action 2: The Beginning,R,Action,Lance Hool,Chuck Norris,5.3
The Protector,R,Action,James Glickenhaus,Jackie Chan,5.7
The Protector,R,Action,Prachya Pinkaew,Tony Jaa,7.1
The Mean Season,R,Crime,Phillip Borsos,Kurt Russell,6.1
The Official Story,Not Rated,Drama,Luis Puenzo,Norma Aleandro,7.8
He-Man and She-Ra: The Secret of the Sword,G,Animation,Directors,John Erwin,7.3
Taipei Story,Not Rated,Drama,Edward Yang,Chin Tsai,7.7
The Aviator,PG,Adventure,George Miller,Christopher Reeve,5.5
The Aviator,PG-13,Biography,Martin Scorsese,Leonardo DiCaprio,7.5
Starchaser: The Legend of Orin,PG,Animation,Steven Hahn,Joe Colligan,6.5
The Care Bears Movie,G,Animation,Arna Selznick,Georgia Engel,5.7
Radioactive Dreams,R,Action,Albert Pyun,John Stockwell,5.6
Twice in a Lifetime,R,Drama,Bud Yorkin,Gene Hackman,6.5
Dance with a Stranger,R,Biography,Mike Newell,Miranda Richardson,6.7
Water,PG-13,Adventure,Dick Clement,Michael Caine,6.1
Echo Park,R,Comedy,Robert Dornhelm,Susan Dey,5.8
O.C. and Stiggs,R,Comedy,Robert Altman,Daniel Jenkins,5.4
The Good Father,R,Drama,Mike Newell,Anthony Hopkins,6.2
Fever Pitch,R,Drama,Richard Brooks,Ryan O'Neal,4.1
Fever Pitch,R,Comedy,David Evans,Colin Firth,6.7
Fever Pitch,PG-13,Comedy,Bobby Farrelly,Drew Barrymore,6.2
The Doctor and the Devils,R,Crime,Freddie Francis,Timothy Dalton,6.1
Head Office,PG-13,Comedy,Ken Finkleman,Judge Reinhold,5.4
Eleni,PG,Drama,Peter Yates,Kate Nelligan,7.0
Dreamchild,PG,Biography,Gavin Millar,Coral Browne,6.8
Bliss,R,Comedy,Ray Lawrence,Barry Otto,6.9
Bliss,R,Drama,Lance Young,Craig Sheffer,6.0
Code Name: Emerald,PG,Action,Jonathan Sanger,Ed Harris,5.9
Colonel Redl,R,Biography,István Szabó,Klaus Maria Brandauer,7.5
Thunder Run,PG-13,Action,Gary Hudson,Forrest Tucker,5.0
James Joyce's Women,R,Drama,Michael Pearce,Fionnula Flanagan,6.1
Sudden Death,R,Action,Sig Shore,Denise Coward,4.8
Sudden Death,R,Action,Peter Hyams,Jean-Claude Van Damme,5.8
One Woman or Two,PG-13,Comedy,Daniel Vigne,Gérard Depardieu,5.1
Joshua Then and Now,R,Comedy,Ted Kotcheff,James Woods,6.6
On the Edge,PG-13,Drama,Rob Nilsson,Bruce Dern,6.8
The Girl in the Picture,PG-13,Comedy,Cary Parker,John Gordon Sinclair,6.3
Wuthering Heights,Not Rated,Drama,Jacques Rivette,Fabienne Babe,6.5
Wuthering Heights,Not Rated,Drama,Andrea Arnold,Kaya Scodelario,6.0
The Frog Prince,PG,Comedy,Brian Gilbert,Jane Snowden,6.6
Mr. Love,PG-13,Comedy,Roy Battersby,Barry Jackson,6.4
Top Gun,PG,Action,Tony Scott,Tom Cruise,6.9
Aliens,R,Action,James Cameron,Sigourney Weaver,8.3
Stand by Me,R,Adventure,Rob Reiner,Wil Wheaton,8.1
Ferris Bueller's Day Off,PG-13,Comedy,John Hughes,Matthew Broderick,7.8
Crocodile Dundee,PG-13,Action,Peter Faiman,Paul Hogan,6.6
Labyrinth,PG,Adventure,Jim Henson,David Bowie,7.4
Highlander,R,Action,Russell Mulcahy,Christopher Lambert,7.1
Big Trouble in Little China,PG-13,Action,John Carpenter,Kurt Russell,7.3
Pretty in Pink,PG-13,Comedy,Howard Deutch,Molly Ringwald,6.8
Platoon,R,Drama,Oliver Stone,Charlie Sheen,8.1
Blue Velvet,R,Drama,David Lynch,Isabella Rossellini,7.7
Manhunter,R,Crime,Michael Mann,William Petersen,7.2
Howard the Duck,PG,Action,Willard Huyck,Lea Thompson,4.7
The Fly,R,Drama,David Cronenberg,Jeff Goldblum,7.6
Little Shop of Horrors,PG-13,Comedy,Frank Oz,Rick Moranis,7.0
The Mosquito Coast,PG,Adventure,Peter Weir,Harrison Ford,6.6
The Karate Kid Part II,PG,Action,John G. Avildsen,Pat Morita,6.1
River's Edge,R,Crime,Tim Hunter,Crispin Glover,7.0
9½ Weeks,R,Drama,Adrian Lyne,Mickey Rourke,6.0
The Golden Child,PG-13,Action,Michael Ritchie,Eddie Murphy,6.0
Star Trek IV: The Voyage Home,PG,Action,Leonard Nimoy,William Shatner,7.3
Short Circuit,PG,Comedy,John Badham,Ally Sheedy,6.7
The Delta Force,R,Action,Menahem Golan,Chuck Norris,5.6
The Name of the Rose,R,Crime,Jean-Jacques Annaud,Sean Connery,7.7
The Wraith,PG-13,Action,Mike Marvin,Charlie Sheen,6.0
The Color of Money,R,Drama,Martin Scorsese,Paul Newman,7.0
Hoosiers,PG,Drama,David Anspaugh,Gene Hackman,7.5
Heartbreak Ridge,R,Drama,Clint Eastwood,Clint Eastwood,6.9
Flight of the Navigator,PG,Adventure,Randal Kleiser,Joey Cramer,6.9
Cobra,R,Action,George P. Cosmatos,Sylvester Stallone,5.8
Peggy Sue Got Married,PG-13,Comedy,Francis Ford Coppola,Kathleen Turner,6.4
The Mission,PG,Adventure,Roland Joffé,Robert De Niro,7.4
Working Girls,Unrated,Drama,Lizzie Borden,Louise Smith,6.6
Youngblood,R,Drama,Peter Markle,Rob Lowe,6.2
Maximum Overdrive,R,Action,Stephen King,Emilio Estevez,5.5
Lucas,PG-13,Comedy,David Seltzer,Corey Haim,6.9
Friday the 13th Part VI: Jason Lives,R,Horror,Tom McLoughlin,Thom Mathews,6.0
The Money Pit,PG,Comedy,Richard Benjamin,Tom Hanks,6.4
Back to School,PG-13,Comedy,Alan Metter,Rodney Dangerfield,6.6
Betty Blue,Unrated,Drama,Jean-Jacques Beineix,Jean-Hugues Anglade,7.4
About Last Night,R,Comedy,Edward Zwick,Rob Lowe,6.2
Critters,PG-13,Comedy,Stephen Herek,Dee Wallace,6.1
